sr_no,dev_sorts,structure,finish_gsm,finish_width,cotton_yarn_costing,wastage,dyeing_cost_rs,dyed_yarn_cost_rs,cotton_dyed_proportion_cost,polyester_cost,spandex_cost,melange_cost,col_14,kora_yarn_cost,reactive_yarn_cost,cooltex_yarn_cost,recycle_yarn_cost,dyed_poly_yarn_cost,micro_modal,viscose,raw_material_cost,knittng__processing_cost,wastage_2,costing,margin,selling_price,conversion_rcvd,currency_rate,discount_if_any,sort_no,96cotton4elastane,price_usdkg,price_usdmtrs,price_usdyds,linear_mtrskg,linear_ydgskg,width_cms,width_inch,weight_gsm,weight_ozssq_yds,price_per_kg_inr,freight_inr_per_kg,commission,lc_days__interest_15_pm,lc_days_interest_amount,col_47,total_cost_pricefreightcomlc_int,inr__kg,col_50,total_cost_usd__kg,col_52
14,20344,3/1 TUCK TWILL,410,170,285.0,8.55,110,403.55,375.3015,0.0,23.450000000000003,0.0,,0.0,0.0,0.0,0.0,0,0,0,398.7515,90,48.87515,537.62665,53.762665,591.389315,192.637815,87,0,20344,,7.30987104310345,5.0949801170431,4.67429368536065,1.4347202295552368,1.5638450502152081,170,66.92913385826772,410,12.09439528023599,591.389315,15,29.56946575,0,0,,635.95878075,,,7.30987104310345,
15,20345,3/1 KNIT TWILL,290,158,225.0,6.75,110,341.75,328.08,0.0,13.4,0.0,,0.0,0.0,0.0,0.0,0,0,0,341.48,90,43.148,474.628,47.4628,522.0908,180.6108,87,0,20345,INDIGO,6.47350965517241,2.966162124,2.72124965504587,2.1824530772588386,2.3788738542121344,158,62.204724409448815,290,8.554572271386432,522.0908,15,26.10454,0,0,,563.19534,,,6.47350965517241,
16,20348,3/1 KNIT TWILL,300,146,285.0,8.55,110,403.55,298.627,24.64,13.4,0.0,,0.0,0.0,0.0,0.0,0,0,0,336.667,90,42.6667,469.3337,46.93337,516.26707,179.60007,87,0,20348,,6.40322325862069,2.80461178727586,2.57303833695033,2.2831050228310503,2.488584474885845,146,57.48031496062992,300,8.849557522123893,516.26707,15,25.8133535,0,0,,557.0804235,,,6.40322325862069,
17,20349,SINGLE JERSEY,180,160,230.0,6.9,110,346.9,329.555,0.0,16.75,0.0,,0.0,0.0,0.0,0.0,0,0,0,346.305,90,43.6305,479.9355,47.99355,527.92905,181.62405,87,0,20349,,6.54397129310345,1.88466373241379,1.72904929579247,3.4722222222222223,3.7847222222222228,160,62.99212598425197,180,5.3097345132743365,527.92905,15,26.3964525,0,0,,569.3255025,,,6.54397129310345,
18,20350,3/1 KNIT TWILL,300,146,285.0,8.55,110,403.55,298.627,0.0,13.4,0.0,,0.0,0.0,0.0,0.0,44,0,0,356.027,90,44.6027,490.6297,49.06297,539.69267,183.66567,87,0,20350,,6.68594601724138,2.92844435555172,2.68664619775387,2.2831050228310503,2.488584474885845,146,57.48031496062992,300,8.849557522123893,539.69267,15,26.9846335,0,0,,581.6773035,,,6.68594601724138,
19,20353,2/1 KNIT TWILL,290,148,225.0,6.75,110,341.75,328.08,0.0,13.4,0.0,,0.0,0.0,0.0,0.0,0,0,0,341.48,90,43.148,474.628,47.4628,522.0908,180.6108,87,0,20353,INDIGO,6.47350965517241,2.778430344,2.54901866422018,2.3299161230195713,2.539608574091333,148,58.26771653543307,290,8.554572271386432,522.0908,15,26.10454,0,0,,563.19534,,,6.47350965517241,
20,20354,FRENCH TERRY,310,160,290.0,8.7,110,408.7,277.916,29.12,20.099999999999998,0.0,,0.0,0.0,0.0,0.0,0,0,0,327.136,90,41.7136,458.8496,45.88496,504.73456,177.59856,87,0,20354,,6.26403779310345,3.10696274537931,2.85042453704524,2.0161290322580645,2.1975806451612905,160,62.99212598425197,310,9.144542772861357,504.73456,15,25.236728,0,0,,544.971288,,,6.26403779310345,
21,20355,3/1 KNIT TWILL,275,148,290.0,8.7,110,408.7,384.178,0.0,20.099999999999998,0.0,,0.0,0.0,0.0,0.0,0,0,0,404.278,90,49.4278,543.7058,54.37058,598.07638,193.79838,87,0,20355,,7.390577,3.007964839,2.75960076972477,2.457002457002457,2.678132678132678,148,58.26771653543307,275,8.112094395280236,598.07638,15,29.903819,0,0,,642.980199,,,7.390577,
22,20357,SINGLE JERSEY,220,180,285.0,8.55,110,403.55,403.55,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0,0,403.55,90,49.355,542.905,54.2905,597.1955,193.6455,87,0,20357,,7.37994568965517,2.92245849310345,2.68115458082885,2.525252525252525,2.7525252525252526,180,70.86614173228347,220,6.489675516224189,597.1955,15,29.859775,0,0,,642.055275,,,7.37994568965517,
23,20359,FRENCH TERRY,345,170,285.0,8.55,110,403.55,322.84,19.040000000000003,10.049999999999999,0.0,,0.0,0.0,0.0,0.0,0,0,0,351.93,90,44.193,486.123,48.6123,534.7353,182.8053,87,0,20359,,6.62611568965517,3.88621685198276,3.56533656145207,1.7050298380221653,1.8584825234441604,170,66.92913385826772,345,10.176991150442479,534.7353,15,26.736765,0,0,,576.472065,,,6.62611568965517,
24,20366,FRENCH TERRY,380,175,285.0,8.55,110,403.55,266.343,37.699999999999996,16.75,0.0,,0.0,0.0,0.0,0.0,0,0,0,320.793,90,41.0793,451.8723,45.18723,497.05953,176.26653,87,0,20366,,6.17140812068965,4.10398640025862,3.76512513785194,1.5037593984962405,1.6390977443609023,175,68.89763779527559,380,11.2094395280236,497.05953,15,24.8529765,0,0,,536.9125065,,,6.17140812068965,
25,20381,PIQUE,210,210,230.0,6.9,110,346.9,333.024,0.0,13.4,0.0,,0.0,0.0,0.0,0.0,0,0,0,346.424,90,43.6424,480.0664,48.00664,528.07304,181.64904,87,0,20381,INDIGO,6.54570910344827,2.88665771462069,2.64830982992724,2.2675736961451247,2.471655328798186,210,82.67716535433071,210,6.1946902654867255,528.07304,15,26.403652,0,0,,569.476692,,,6.54570910344827,
26,20386,2/1 TWILL,320,152,230.0,6.9,110,346.9,183.857,57.2,10.049999999999999,0.0,,0.0,0.0,0.0,0.0,0,0,0,251.107,90,34.1107,375.2177,37.52177,412.73947,161.63247,87,0,20386,,5.15375222413793,2.50678508182069,2.29980282735843,2.055921052631579,2.2409539473684217,152,59.84251968503937,320,9.43952802359882,412.73947,15,20.6369735,0,0,,448.3764435,,,5.15375222413793,
27,20387,2/1 TWILL,320,152,230.0,6.9,110,346.9,183.857,47.96,10.049999999999999,0.0,,0.0,0.0,0.0,0.0,0,0,0,241.867,90,33.1867,365.0537,36.50537,401.55907,159.69207,87,0,20387,,5.01881636206897,2.44115227851034,2.23958924633977,2.055921052631579,2.2409539473684217,152,59.84251968503937,320,9.43952802359882,401.55907,15,20.0779535,0,0,,436.6370235,,,5.01881636206897,
28,20388,3/1 TWILL,360,164,285.0,8.55,110,403.55,262.3075,41.6,10.049999999999999,0.0,,0.0,0.0,0.0,0.0,0,0,0,313.9575,90,40.39575,444.35325,44.435325,488.788575,174.831075,87,0,20388,,6.07158625,3.584664522,3.28868304770642,1.6937669376693767,1.8462059620596207,164,64.56692913385827,360,10.619469026548673,488.788575,15,24.43942875,0,0,,528.22800375,,,6.07158625,
29,20389,3/1 TWILL,270,155,,#VALUE!,110,#VALUE!,#VALUE!,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0,0,#VALUE!,90,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,87,0,20389,,#VALUE!,#VALUE!,#VALUE!,2.3894862604540026,2.604540023894863,155,61.023622047244096,270,7.964601769911504,#VALUE!,15,#VALUE!,0,#VALUE!,,#VALUE!,,,#VALUE!,
30,20390,FRENCH TERRY,275,162,230.0,6.9,110,346.9,239.361,33.0,20.099999999999998,0.0,,0.0,0.0,0.0,0.0,0,0,0,292.461,90,38.2461,420.7071,42.07071,462.77781,170.31681,87,0,20390,,5.75766322413793,2.56503896635345,2.35324675812243,2.2446689113355776,2.4466891133557795,162,63.77952755905512,275,8.112094395280236,462.77781,15,23.1388905,0,0,,500.9167005,,,5.75766322413793,
31,20391,3/1 TWILL,275,155,230.0,6.9,110,346.9,194.264,45.78,7.1000000000000005,0.0,,0.0,0.0,0.0,0.0,0,0,0,247.144,90,33.7144,370.8584,37.08584,407.94424,160.80024,87,0,20391,,5.09587875862069,2.17211832086207,1.99276910170832,2.346041055718475,2.5571847507331382,155,61.023622047244096,275,8.112094395280236,407.94424,15,20.397212,0,0,,443.341452,,,5.09587875862069,
32,20392,SINGLE JERSEY,200,160,230.0,6.9,110,346.9,329.555,0.0,17.75,0.0,,0.0,0.0,0.0,0.0,0,0,0,347.305,90,43.7305,481.0355,48.10355,529.13905,181.83405,87,0,20392,,6.55857474137931,2.09874391724138,1.92545313508383,3.125,3.4062500000000004,160,62.99212598425197,200,5.899705014749263,529.13905,15,26.4569525,0,0,,570.5960025,,,6.55857474137931,
33,20395,MODIFIED FRENCH TERRY,295,160,225.0,6.75,110,341.75,205.05,48.1,10.65,0.0,,0.0,0.0,0.0,0.0,0,0,0,263.8,90,35.38,389.18,38.918,428.098,164.298,87,0,20395,,5.33911379310345,2.52006171034483,2.31198322049984,2.1186440677966103,2.3093220338983054,160,62.99212598425197,295,8.702064896755163,428.098,15,21.4049,0,0,,464.5029,,,5.33911379310345,
34,20399,FRENCH TERRY,300,162,230.0,6.9,110,346.9,235.892,0.0,20.099999999999998,0.0,,67.60000000000001,0.0,0.0,0.0,0,0,0,323.592,90,41.3592,454.9512,45.49512,500.44632,176.85432,87,0,20399,,6.21228317241379,3.0191696217931,2.76988038696615,2.05761316872428,2.2427983539094654,162,63.77952755905512,300,8.849557522123893,500.44632,15,25.022316,0,0,,540.468636,,,6.21228317241379,
35,20408,2/1 TWILL,300,138,285.0,8.55,110,403.55,213.8815,39.36,50.25,0.0,,0.0,0.0,0.0,0.0,0,0,0,303.4915,90,39.34915,432.84065,43.284065,476.124715,172.633215,87,0,20408,,5.91874656034483,2.45036107598276,2.24803768438785,2.415458937198068,2.6328502415458943,138,54.33070866141732,300,8.849557522123893,476.124715,15,23.80623575,0,0,,514.93095075,,,5.91874656034483,
36,20409,2/1 TWILL,300,135,225.0,6.75,110,341.75,167.4575,44.28,50.25,0.0,,0.0,0.0,0.0,0.0,0,0,0,261.9875,90,35.19875,387.18625,38.718625,425.904875,163.917375,87,0,20409,,5.31264504310345,2.1516212424569,1.97396444262101,2.4691358024691357,2.691358024691358,135,53.1496062992126,300,8.849557522123893,425.904875,15,21.29524375,0,0,,462.20011875,,,5.31264504310345,
37,20410,2/1 TWILL,260,135,230.0,6.9,110,346.9,152.636,49.2,53.6,0.0,,0.0,0.0,0.0,0.0,0,0,0,255.436,90,34.5436,379.9796,37.99796,417.97756,162.54156,87,0,20410,,5.21697055172414,1.83115666365517,1.67996024188548,2.849002849002849,3.105413105413106,135,53.1496062992126,260,7.669616519174042,417.97756,15,20.898878,0,0,,453.876438,,,5.21697055172414,
38,20412,2/1 TWILL,340,150,285.0,8.55,110,403.55,367.2305,0.0,30.15,0.0,,0.0,0.0,0.0,0.0,0,0,0,397.3805,90,48.73805,536.11855,53.611855,589.730405,192.349905,87,0,20412,,7.28984971551724,3.71782335491379,3.41084711459981,1.9607843137254901,2.1372549019607843,150,59.05511811023622,340,10.029498525073747,589.730405,15,29.48652025,0,0,,634.21692525,,,7.28984971551724,
39,20413,DOTTED FRENCH TERRY,210,165,,#VALUE!,110,#VALUE!,#VALUE!,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0,0,#VALUE!,90,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,87,0,20413,,#VALUE!,#VALUE!,#VALUE!,2.886002886002886,3.145743145743146,165,64.96062992125984,210,6.1946902654867255,#VALUE!,15,#VALUE!,0,#VALUE!,,#VALUE!,,,#VALUE!,
40,20415,2/1 TWILL,280,145,320.0,9.6,110,439.6,276.948,36.9,23.450000000000003,0.0,,0.0,0.0,0.0,0.0,0,0,0,337.298,90,42.7298,470.0278,47.00278,517.03058,179.73258,87,0,20415,,6.41243803448276,2.603449842,2.38848609357798,2.4630541871921183,2.6847290640394093,145,57.08661417322835,280,8.259587020648969,517.03058,15,25.851529,0,0,,557.882109,,,6.41243803448276,
41,20416,PLAITED SINGLE JERSEY,220,172,230.0,6.9,110,346.9,249.768,36.96,0.0,0.0,,0.0,0.0,0.0,0.0,0,0,0,286.728,90,37.6728,414.4008,41.44008,455.84088,169.11288,87,0,20416,,5.67394165517241,2.14701952231724,1.96974268102499,2.6427061310782243,2.8805496828752646,172,67.71653543307086,220,6.489675516224189,455.84088,15,22.792044,0,0,,493.632924,,,5.67394165517241,
42,20417,PLAITED SINGLE JERSEY,220,178,230.0,6.9,110,346.9,232.423,39.93,0.0,0.0,,0.0,0.0,0.0,0.0,0,0,0,272.353,90,36.2353,398.5883,39.85883,438.44713,166.09413,87,0,20417,,5.4640170862069,2.13970909095862,1.96303586326479,2.553626149131767,2.7834525025536263,178,70.07874015748031,220,6.489675516224189,438.44713,15,21.9223565,0,0,,475.3694865,,,5.4640170862069,
43,20419,BASKET WEAVE,200,162,230.0,6.9,110,346.9,336.493,0.0,10.65,0.0,,0.0,0.0,0.0,0.0,0,0,0,347.143,90,43.7143,480.8573,48.08573,528.94303,181.80003,87,0,20419,,6.55620898275862,2.12421171041379,1.94881808294843,3.0864197530864197,3.364197530864198,162,63.77952755905512,200,5.899705014749263,528.94303,15,26.4471515,0,0,,570.3901815,,,6.55620898275862,
44,20425,CHECKS,320,164,225.0,6.75,110,341.75,246.06,25.76,16.75,0.0,,0.0,0.0,0.0,0.0,0,0,0,288.57,90,37.857,416.427,41.6427,458.0697,169.4997,87,0,20425,,5.70084120689655,2.99180146537931,2.74477198658652,1.905487804878049,2.0769817073170738,164,64.56692913385827,320,9.43952802359882,458.0697,15,22.903485,0,0,,495.973185,,,5.70084120689655,
45,20430,2/1 TWILL,325,158,285.0,8.55,110,403.55,225.988,50.7,16.75,0.0,,0.0,0.0,0.0,0.0,0,0,0,293.438,90,38.3438,421.7818,42.17818,463.95998,170.52198,87,0,20430,,5.77193079310345,2.96388646225862,2.71916189198039,1.9474196689386563,2.1226874391431356,158,62.204724409448815,325,9.587020648967552,463.95998,15,23.197999,0,0,,502.157979,,,5.77193079310345,
46,20432,2/1 TWILL,330,156,285.0,8.55,110,403.55,221.9525,54.6,10.049999999999999,0.0,,0.0,0.0,0.0,0.0,0,0,0,286.6025,90,37.66025,414.26275,41.426275,455.689025,169.086525,87,0,20432,,5.67210892241379,2.92000167325862,2.67890061766846,1.9425019425019423,2.1173271173271173,156,61.41732283464567,330,9.734513274336283,455.689025,15,22.78445125,0,0,,493.47347625,,,5.67210892241379,
47,20434,2/1 TWILL,315,162,285.0,8.55,110,403.55,379.337,0.0,20.099999999999998,0.0,,0.0,0.0,0.0,0.0,0,0,0,399.437,90,48.9437,538.3807,53.83807,592.21877,192.78177,87,0,20434,,7.31988170689655,3.73533563502931,3.4269134266324,1.9596315892612188,2.1359984322947287,162,63.77952755905512,315,9.29203539823009,592.21877,15,29.6109385,0,0,,636.8297085,,,7.31988170689655,
48,20456,FRENCH TERRY,220,162,230.0,6.9,110,346.9,277.52,19.68,14.200000000000001,0.0,,0.0,0.0,0.0,0.0,0,0,0,311.4,90,40.14,441.54,44.154,485.694,174.294,87,0,20456,,6.03423793103448,2.15060239862069,1.97302972350522,2.805836139169472,3.0583613916947248,162,63.77952755905512,220,6.489675516224189,485.694,15,24.2847,0,0,,524.9787,,,6.03423793103448,
49,20457,SINGLE JERSEY,180,165,225.0,6.75,110,341.75,341.75,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0,0,341.75,90,43.175,474.925,47.4925,522.4175,180.6675,87,0,20457,,6.4774525862069,1.92380341810345,1.76495726431509,3.367003367003367,3.6700336700336704,165,64.96062992125984,180,5.3097345132743365,522.4175,15,26.120875,0,0,,563.538375,,,6.4774525862069,
