sr_no,dev_sorts,structure,finish_gsm,finish_width,oeactiva,oeactiva_2,oeactiva_3,kia,kia_2,kia_3,swift,classic,classic_2,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,col_51,col_52,col_53,col_54,col_55,col_56,col_57,col_58,col_59,col_60,col_61,col_62,col_63,col_64,col_65,col_66,col_67,col_68,col_69,col_70,col_71,col_72,col_73,col_74,col_75,col_76,col_77,col_78,col_79,col_80,col_81,col_82,col_83,col_84,col_85,col_86,col_87,col_88,col_89,col_90,col_91,col_92,col_93,col_94,col_95,col_96,col_97,col_98,col_99,col_100,col_101,col_102,col_103,col_104,col_105,col_106,col_107,col_108,col_109,col_110,local_cost,sales_price,export_cost_inr,export_price_fc,price_usdkg,price_usdmtrs,price_usdyds,col_118,col_119,col_120,col_121,col_122,col_123,col_124,col_125,col_126,col_127,col_128,col_129,col_130,col_131,col_132,col_133,col_134,col_135,col_136,col_137,col_138,col_139,col_140,col_141,col_142,col_143,col_144,col_145,col_146,col_147,col_148,col_149,col_150,col_151,col_152,col_153,col_154,col_155,col_156,col_157,col_158,col_159,col_160,col_161,col_162,col_163,col_164,col_165,col_166,col_167,col_168,col_169
11.0,20340,FRENCH TERRY,275.0,156.0,,,,,,,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,79.0,15.0,0.0,6.0,,,,,,,,79%COTTON+15%POLY+6%ELASTANE,INDIGO,30s INDIGO+80D WHITE POLY+40D WHITE SPANDEX,509.99135,560.990485,604.04000925,6.94298861206897,6.94298861206897,2.97854211457759,2.73260744456659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,20341,FRENCH TERRY,310.0,152.0,,,,,,,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,81.0,13.0,0.0,6.0,,,,,,,,81%COTTON+13%POLY+6%ELASTANE,INDIGO,30s INDIGO+80D WHITE POLY+40D WHITE SPANDEX,516.61665,568.278315,611.69223075,7.03094518103448,7.03094518103448,3.31298136930345,3.03943244890225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.0,20343,FRENCH TERRY,260.0,167.0,,,,,,,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,67.0,28.0,0.0,5.0,,,,,,,,67%COTTON+28%POLY+5%ELASTANE,INDIGO,30s INDIGO+150D WHITE POLY+40D WHITE SPANDEX,470.67955,517.747505,558.63488025,6.42109057758621,6.42109057758621,2.78803752878793,2.55783259521829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.0,20344,3/1 TUCK TWILL,410.0,170.0,,,,,,,,,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,93.0,0.0,0.0,7.0,,,,,,,,93%COTTON+7%ELASTANE,INDIGO,20s INDIGO+70D WHITE SPANDEX,537.62665,591.389315,635.95878075,7.30987104310345,7.30987104310345,5.0949801170431,4.67429368536065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,20345,3/1 KNIT TWILL,290.0,158.0,,,,,,,,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,96.0,0.0,0.0,4.0,,,,,,,,96%COTTON+4%ELASTANE,INDIGO,24s INDIGO+40D WHITE SPANDEX,550.7656,605.84216,651.134268,7.48430193103448,7.48430193103448,3.4293071448,3.14615334385321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,20348,3/1 KNIT TWILL,300.0,146.0,,,,,,,,,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,74.0,22.0,0.0,4.0,,,,,,,,74%COTTON+22%POLY+4%ELASTANE,INDIGO,20s INDIGO+150D WHITE POLY+40D WHITE SPANDEX,474.1737,521.59107,562.6706235,6.46747843103448,6.46747843103448,2.8327555527931,2.59885830531477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.0,20349,SINGLE JERSEY,180.0,160.0,,,,,,,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,95.0,0.0,0.0,5.0,,,,,,,,95%COTTON+5%ELASTANE,INDIGO,30s INDIGO+40D WHITE SPANDEX,560.66175,616.727925,662.56432125,7.61568185344828,7.61568185344828,2.1933163737931,2.01221685669092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,20350,3/1 KNIT TWILL,300.0,146.0,,,,,,,,,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,100.0,74.0,22.0,0.0,4.0,,,,,,,,74%COTTON+22%POLY+4%ELASTANE,INDIGO,20s INDIGO+150D BLUE POLY(35835)+40D WHITE SPANDEX,490.6297,539.69267,581.6773035,6.68594601724138,6.68594601724138,2.92844435555172,2.68664619775387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.0,20353,2/1 KNIT TWILL,290.0,148.0,,,,,,,,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,96.0,0.0,0.0,4.0,,,,,,,,96%COTTON+4%ELASTANE,INDIGO,24s INDIGO+40D WHITE SPANDEX,550.7656,605.84216,651.134268,7.48430193103448,7.48430193103448,3.2122623888,2.94702971449541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,20354,FRENCH TERRY,310.0,160.0,,,,,,,,,,,,,,,,,,,,,,,,,68.0,,,,,,,,,,,,,,26.0,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,26.0,0.0,6.0,,,,,,,,68%COTTON+26%POLY+6%ELASTANE,INDIGO,30s INDIGO SLUB+150D WHITE POLY+40D WHITE SPANDEX,464.5696,511.02656,551.577888,6.33997572413793,6.33997572413793,3.14462795917241,2.88497977905726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,20355,3/1 KNIT TWILL,275.0,148.0,,,,,,,,,,,,,,,,,,,,,,,,,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,0.0,0.0,6.0,,,,,,,,94%COTTON+6%ELASTANE,INDIGO,30s INDIGO SLUB+40D WHITE SPANDEX,543.7058,598.07638,642.980199,7.390577,7.390577,3.007964839,2.75960076972477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.0,20357,SINGLE JERSEY,220.0,180.0,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,0.0,0.0,0.0,,,,,,,,100%COTTON,INDIGO,20s INDIGO,542.905,597.1955,642.055275,7.37994568965517,7.37994568965517,2.92245849310345,2.68115458082885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.0,20359,FRENCH TERRY,345.0,170.0,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,80.0,17.0,0.0,3.0,,,,,,,,80%COTTON+17%POLY+3%ELASTANE,INDIGO,20s INDIGO+150D WHITE POLY+40D WHITE SPANDEX,489.863,538.8493,580.791765,6.6757674137931,6.6757674137931,3.91533758818966,3.59205283320152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,20366,FRENCH TERRY,380.0,175.0,,,,,,,,,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,66.0,29.0,0.0,5.0,,,,,,,,66%COTTON+29%POLY+5%ELASTANE,INDIGO,20s INDIGO+300D BLACK POLY+40D WHITE SPANDEX,451.8723,497.05953,536.9125065,6.17140812068965,6.17140812068965,4.10398640025862,3.76512513785194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.0,20381,PIQUE,210.0,210.0,,,,,,,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,96.0,0.0,0.0,4.0,,,,,,,,96%COTTON+4%ELASTANE,INDIGO,30s INDIGO+40D WHITE SPANDEX,561.6424,617.80664,663.696972,7.62870082758621,7.62870082758621,3.36425706496552,3.086474371528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.0,20386,2/1 TWILL,320.0,152.0,,,,,,,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,53.0,44.0,0.0,3.0,,,,,,,,53%COTTON+44%POLY+3%ELASTANE,INDIGO,30s INDIGO+300D BLACK POLY+40D WHITE SPANDEX,420.25445,462.279895,500.39388975,5.75165390517241,5.75165390517241,2.79760445947586,2.56660959584941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,20387,2/1 TWILL,320.0,152.0,,,,,,,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,53.0,44.0,0.0,3.0,,,,,,,,53%COTTON+44%POLY+3%ELASTANE,INDIGO,30sINDIGO+300D WHITE POLY+40D WHITE SPANDEX,410.09045,451.099495,488.65446975,5.61671804310345,5.61671804310345,2.73197165616552,2.50639601483075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,20388,3/1 TWILL,360.0,164.0,,,,,,,,,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,65.0,32.0,0.0,3.0,,,,,,,,65%COTTON+32%POLY+3%ELASTANE,INDIGO,20s INDIGO+300D BLACK POLY+40D WHITE SPANDEX,444.35325,488.788575,528.22800375,6.07158625,6.07158625,3.584664522,3.28868304770642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
